customer_id,total_orders,total_items,total_spent
7827,1,4,314.01
2977,9,5,972.15
1977,6,19,920.23
3418,1,7,331.03
4167,3,1,738.76
4183,7,5,141.27
5236,10,11,675.35
2837,4,17,378.61
1899,5,19,447.78
6557,8,6,507.87
3052,6,7,121.54
9579,4,1,952.86
5968,9,5,494.42
7200,10,10,751.87
6598,9,20,531.29
211,7,13,199.36
950,10,15,755.94
4658,4,17,203.02
854,8,12,545.0
3698,1,6,990.56
4735,6,14,691.93
7948,9,1,791.23
6901,2,10,416.54
3609,5,18,135.6
1253,8,12,577.15
8579,3,16,146.77
2096,1,12,107.43
8632,8,16,542.49
4042,3,7,315.17
8250,5,18,986.31
4844,5,14,210.9
9329,1,19,697.68
2487,1,1,401.2
6594,2,16,796.37
5489,4,4,851.59
540,9,1,978.75
1227,4,17,785.79
6800,2,12,820.55
5299,3,3,842.36
5922,4,20,124.48
5230,2,15,752.19
5405,10,4,442.47
34,5,17,851.06
9052,7,14,172.89
3109,9,20,965.36
1306,2,8,613.3
8583,4,17,201.02
2115,1,8,798.56
1414,2,5,173.64
7549,4,19,945.94
9530,2,19,618.55
920,3,13,227.94
5653,3,16,916.88
4432,2,18,312.4
825,9,5,993.61
6326,6,7,810.17
5517,8,18,127.95
721,10,3,638.25
4387,9,17,513.96
1933,9,11,752.26
9274,8,13,155.2
6974,2,10,780.3
3818,10,9,906.17
4671,3,5,639.42
9733,5,1,500.45
940,3,6,677.92
324,10,18,881.87
1702,6,10,534.83
9725,5,6,543.45
2833,9,1,544.0
926,9,10,278.18
4028,8,18,225.82
9463,8,19,689.49
538,5,6,680.97
7120,3,5,695.23
5408,1,4,583.46
3110,4,3,434.77
6201,2,13,617.85
828,2,4,592.87
4807,1,3,617.14
7889,9,3,303.16
251,7,6,264.96
638,3,15,243.61
3198,7,11,490.85
5572,9,15,594.23
1647,1,3,800.72
8656,4,10,126.7
1031,3,3,301.34
2350,4,6,380.06
8453,2,3,401.42
5076,3,5,831.02
3750,9,11,738.12
8632,4,11,908.43
2617,5,5,359.01
6241,2,15,795.6
3498,2,11,630.23
1699,4,20,717.45
4562,6,4,819.35
9780,5,18,381.45
4345,7,14,181.94
4019,1,13,270.36
884,7,1,661.44
6280,8,20,139.14
7891,8,3,728.26
876,10,2,273.27
2226,10,10,607.76
9042,6,1,549.61
1821,4,7,397.24
6403,6,16,971.42
9962,9,7,459.66
8326,6,2,776.28
3833,5,14,696.5
2280,2,9,208.68
2178,2,1,670.62
7350,10,3,113.19
7258,9,1,597.53
888,8,13,510.87
7801,7,7,303.6
1345,1,12,656.84
3671,4,16,383.67
8875,1,8,393.07
9062,3,13,937.95
2775,7,15,380.28
7172,9,17,193.19
3404,4,20,273.7
3286,2,18,430.63
6012,6,19,195.91
4388,3,19,791.85
5015,6,11,512.59
8822,3,14,463.19
6671,5,4,638.93
7053,5,7,271.92
6066,6,12,659.47
7720,3,11,100.55
2295,9,1,838.92
9938,2,4,186.33
6593,5,12,688.32
9123,1,13,288.64
3342,1,13,917.28
3617,4,18,509.97
3218,7,14,776.74
4827,1,9,371.6
9537,6,8,535.09
136,9,14,999.1
1285,8,7,991.24
8955,1,18,139.55
3412,1,17,793.5
7731,8,19,843.54
6003,5,9,690.91
1612,3,1,388.63
582,8,2,309.89
31,5,18,958.35
3615,5,15,796.58
5185,5,15,143.81
1327,2,11,813.92
6660,10,14,365.47
1319,4,2,878.16
9443,4,2,514.13
7170,9,9,827.11
8184,1,10,268.65
3032,7,12,709.05
8828,5,12,335.18
2816,5,11,413.33
1874,1,12,114.24
820,10,13,359.96
818,2,3,201.73
8574,10,12,135.2
229,3,11,462.72
2079,9,10,993.26
9461,9,16,797.05
8046,3,20,366.68
220,1,11,625.83
7241,5,12,408.31
2514,8,16,889.37
5024,2,8,888.07
6388,8,1,859.46
1493,7,9,585.79
1715,8,1,789.89
4705,7,7,386.5
8187,6,8,291.05
5425,6,11,736.32
8471,5,20,786.47
2560,10,15,996.97
3684,4,11,417.1
447,7,13,338.52
704,2,16,301.52
5185,2,4,913.95
5314,5,15,511.32
216,9,11,553.41
7085,9,10,249.92
4561,1,1,484.6
9067,2,3,388.18
7846,9,14,455.58
2440,2,8,914.65
3579,3,19,232.84
8915,10,13,315.48
9560,4,2,923.95
8485,8,5,327.05
1652,1,11,184.03
9720,3,18,631.29
9034,1,11,680.89
5385,8,7,803.89
6496,10,3,235.64
8342,4,13,857.28
4317,3,8,606.42
9806,1,11,414.69
3009,9,20,311.76
609,1,14,371.0
5411,2,6,583.81
6329,6,5,750.89
4089,6,6,862.2
8372,5,14,360.93
216,7,3,697.95
6077,1,16,474.92
2421,5,10,892.83
7468,8,5,666.65
936,5,12,687.25
3894,3,7,449.95
1332,10,12,651.59
6523,10,18,272.91
719,7,19,601.31
3357,10,3,145.11
2160,7,19,878.1
5529,2,6,459.82
5495,10,19,405.78
6187,6,18,403.86
4960,2,14,489.68
7776,4,19,639.4
6110,9,5,821.88
5522,8,16,190.47
1776,4,18,653.62
9052,4,4,405.97
6998,6,9,578.25
1888,5,14,624.73
9718,1,12,578.75
701,10,9,936.47
8864,10,13,324.04
7327,10,13,921.83
4380,10,20,714.43
643,10,6,303.01
4146,1,10,392.92
5649,9,8,169.66
5618,6,19,800.72
9870,3,6,839.78
4389,2,3,334.91
3826,3,4,609.13
9750,3,14,391.65
5992,4,14,613.71
6478,9,17,441.3
35,6,19,925.31
1075,10,4,283.31
171,1,14,807.4
4530,6,7,660.47
5038,10,2,947.34
8552,10,13,852.99
3405,1,8,454.13
2819,1,16,310.07
294,7,2,441.41
1258,1,17,330.28
3807,1,7,536.17
5894,5,11,584.22
7206,6,1,928.78
938,10,7,446.39
6820,3,18,985.65
3924,2,15,332.82
1113,1,3,105.88
678,3,17,514.84
867,8,10,972.76
3143,4,20,346.93
631,10,5,688.63
8437,1,7,800.86
6367,3,14,303.14
6740,9,2,772.52
8312,7,8,655.33
1805,9,19,131.43
8140,7,13,193.14
465,2,8,659.77
3118,3,6,596.75
8546,2,3,715.93
5232,10,15,298.66
5760,5,7,471.11
6968,9,5,160.52
7936,4,9,651.25
6584,7,11,371.3
8545,3,15,260.75
8113,8,20,454.64
3549,5,1,338.25
9875,9,11,949.15
4103,8,7,415.83
9878,7,14,733.49
9769,9,20,885.49
1477,6,16,457.51
7799,2,19,390.79
7747,9,3,570.71
7066,7,17,396.9
62,6,17,936.06
2245,3,20,732.9
224,6,1,472.26
9254,2,3,697.83
333,9,14,410.5
6888,10,13,949.75
9514,4,6,382.61
6284,10,10,790.28
2529,10,14,870.26
423,5,12,264.4
5943,4,10,513.66
8488,10,2,393.44
3315,9,16,902.57
9646,4,1,103.18
7709,5,11,596.38
3631,9,15,981.75
6515,2,9,415.97
2060,9,15,745.92
5893,3,4,245.05
6601,7,3,603.37
6132,8,2,322.27
8254,4,9,280.48
4560,6,1,221.16
655,6,14,790.15
940,8,3,783.43
1462,4,20,211.74
698,10,13,857.28
8701,6,11,136.14
1547,7,18,961.01
7779,10,5,678.49
7487,8,15,514.72
3386,10,18,190.65
1788,1,12,755.02
9462,10,2,668.19
7008,2,6,526.12
3706,1,1,287.63
6832,8,15,549.91
8735,3,20,391.52
6115,7,11,587.61
7168,9,6,326.94
1833,7,1,781.63
1131,5,18,675.67
1051,9,12,344.49
5804,10,19,584.39
8249,8,5,301.15
8596,6,20,163.59
4877,8,18,961.78
7734,6,2,664.57
1317,5,4,327.97
991,2,17,290.54
4605,10,20,281.23
3087,9,5,791.23
1535,8,4,945.41
3881,5,10,212.6
3251,3,17,205.36
8359,6,10,887.83
5010,9,7,774.36
7356,10,19,863.66
1163,10,18,757.57
9318,3,16,654.5
8803,8,7,204.38
7889,1,14,756.77
4958,2,4,951.53
8264,4,18,733.69
2389,10,11,246.0
3261,1,16,718.48
4945,8,11,382.83
2748,6,17,353.47
5310,2,1,905.59
2139,3,4,692.83
5117,4,17,936.37
6040,9,7,824.95
6549,1,2,746.1
4246,4,6,618.96
3899,6,18,161.26
2943,10,11,710.7
5561,9,2,201.05
5186,9,3,462.96
3898,3,10,559.34
4108,4,12,171.7
789,2,17,907.95
7459,3,11,935.72
2058,10,19,741.3
7218,4,18,919.58
1039,9,13,565.48
9538,3,20,741.93
490,5,10,415.32
2392,1,11,703.87
1511,5,18,244.56
3987,5,3,416.3
9116,4,5,204.18
2790,3,15,746.44
6280,5,9,255.69
3428,10,20,139.26
6574,2,16,431.06
8406,4,13,946.54
3451,8,7,137.36
3372,1,5,310.73
5407,10,14,942.39
3712,7,2,816.75
8601,7,11,295.91
488,10,14,552.23
788,4,10,680.52
5993,2,7,681.34
372,1,4,935.7
8729,6,4,865.13
783,2,17,573.14
3985,3,13,337.09
4423,5,7,670.67
742,8,17,270.8
7353,9,13,621.25
5423,3,6,310.36
8005,4,20,248.27
7696,6,16,600.11
7990,8,20,550.41
9787,2,2,305.09
4190,4,5,246.58
3386,10,13,418.03
6053,4,15,201.11
8430,4,20,432.01
1286,2,5,277.83
6510,9,8,838.32
4596,5,20,641.83
9206,8,13,322.45
2851,9,8,909.27
982,7,18,970.93
1599,5,10,564.85
6473,10,9,476.04
8058,9,7,552.0
9474,3,5,920.26
1813,3,8,238.79
5078,6,4,480.56
9650,10,15,492.83
8098,9,18,355.73
1345,1,12,926.05
7360,10,13,365.05
5912,7,6,526.47
6414,8,13,119.36
8696,2,15,777.53
4710,3,13,622.63
3634,8,12,563.7
3393,1,17,359.0
1654,1,9,790.69
9605,2,9,642.9
905,1,15,524.81
7494,2,14,733.54
3147,6,18,374.8
2715,9,4,267.9
4325,9,20,465.1
7557,2,18,369.79
138,7,20,360.57
2662,7,6,404.97
645,2,19,661.47
3464,10,4,565.71
4408,3,1,107.25
1562,8,14,880.92
9353,10,18,509.48
4099,8,13,709.21
1803,2,14,249.33
2477,8,15,306.4
721,7,18,525.7
5651,5,20,705.92
1902,6,8,440.57
3518,9,12,878.26
6150,8,12,832.01
2579,3,3,491.18
6226,5,5,728.29
9330,8,5,392.62
6522,6,14,125.12
2654,1,9,972.74
1114,6,12,229.77
1511,8,20,880.01
7922,8,11,915.68
5742,8,13,827.96
7820,10,14,477.58
9565,4,19,992.95
9805,10,4,174.3
5420,6,8,268.86
3683,2,19,335.74
518,7,1,394.68
4589,1,12,573.5
9326,3,16,293.67
349,7,15,741.21
7807,8,1,592.36
262,7,6,381.54
6893,7,5,634.56
2789,7,8,276.71
5524,5,7,932.64
2877,4,14,501.27
3504,5,9,730.62
6386,3,14,315.97
6274,7,19,930.36
7258,10,15,395.51
5037,9,8,454.69
8089,1,19,223.66
8724,4,15,219.05
1977,3,1,357.65
3551,9,18,814.57
9610,8,7,157.37
4037,1,9,994.39
1864,7,6,892.81
1689,9,8,888.21
6785,10,5,274.75
9777,7,14,533.57
699,7,1,714.51
8929,10,18,807.03
3280,3,17,583.11
2341,4,13,673.18
5654,9,4,126.08
306,9,10,340.71
6195,6,4,941.71
4969,6,17,870.01
3922,1,7,120.01
5302,1,5,810.64
16,4,20,237.35
8333,3,7,525.93
4998,7,2,333.71
6854,2,4,743.37
5567,3,11,523.06
1972,10,15,580.18
5142,7,1,797.37
1244,8,16,770.55
9655,1,10,624.56
4574,5,1,714.48
5162,3,12,992.22
316,4,11,791.76
3146,1,14,131.93
2096,10,2,516.16
515,5,16,170.75
2942,10,12,700.24
5125,2,17,644.43
7528,1,6,423.14
1509,2,1,207.47
5064,10,2,514.18
7313,8,9,882.66
9113,2,3,472.87
8731,3,7,317.68
9686,5,10,769.26
6137,2,10,641.86
2198,2,4,698.05
8481,3,6,824.65
4931,7,15,801.49
9567,10,7,820.25
1696,8,20,440.22
4834,7,19,837.95
4490,1,9,367.05
3697,3,9,693.79
8537,2,5,142.74
1619,1,1,513.18
2654,8,5,617.74
7135,1,15,792.19
1986,3,2,606.05
2060,8,11,131.47
1002,4,9,518.48
2889,9,11,774.79
771,2,2,151.49
5704,9,15,986.84
1664,5,4,511.56
648,3,14,979.92
5298,8,6,110.33
4928,8,18,696.14
1932,4,20,815.97
9159,4,5,329.17
8365,10,8,207.83
1047,4,4,267.41
542,4,3,320.08
265,8,3,162.52
6369,4,2,734.59
1363,3,16,896.01
4589,6,18,966.76
2423,2,11,756.35
7827,9,1,811.33
1349,1,1,458.68
7212,8,10,979.73
3580,5,16,579.78
6190,7,16,294.27
4398,5,8,910.01
3385,5,7,895.76
6156,8,15,285.29
9618,2,12,902.01
3432,2,3,280.42
4548,2,4,882.55
5273,4,14,303.8
7415,10,13,122.21
4519,5,10,303.94
779,3,13,496.19
5900,5,10,448.8
6107,3,10,439.41
9515,2,11,859.45
7703,9,11,505.19
5159,9,11,559.41
4576,8,12,796.21
7888,9,8,116.1
501,7,13,399.24
7949,4,11,777.18
3742,6,5,208.92
1929,2,12,498.8
564,8,11,786.46
5158,5,12,559.25
3611,2,9,981.09
7690,7,3,949.33
9077,7,20,524.56
4892,7,11,715.49
3812,6,11,596.79
5486,4,2,630.62
9770,10,13,418.88
170,8,4,368.95
6331,8,14,639.42
7571,1,10,655.2
1160,5,5,172.58
3274,9,4,846.41
4808,10,18,833.62
4762,4,13,106.58
144,5,4,448.17
321,3,15,955.81
6295,5,20,260.25
3114,1,10,892.09
8490,8,16,156.95
1952,7,20,541.61
7216,9,7,316.57
7278,6,16,761.59
5046,10,7,789.09
7403,4,11,476.1
4306,2,4,562.85
5560,9,12,811.68
3070,9,5,170.81
9,8,10,463.45
4051,3,19,432.24
7062,8,20,683.93
7458,7,14,316.1
4166,8,1,171.64
7669,7,2,288.18
5962,6,9,341.31
7354,7,11,387.77
7194,9,12,134.1
2500,7,4,530.79
4284,2,17,390.03
3403,8,16,648.86
1718,3,12,881.48
6037,3,16,202.55
9700,3,2,439.23
8128,6,10,573.51
3717,6,5,892.92
6137,10,6,201.34
2383,3,13,620.97
45,10,11,402.46
6738,4,6,179.61
9171,3,15,236.85
3404,3,20,970.43
42,3,18,712.23
8815,10,11,899.96
6885,6,15,502.87
6576,2,9,475.01
7547,7,15,578.26
140,4,9,682.41
3501,6,13,945.9
6291,10,4,228.81
2626,10,9,844.37
3475,3,10,396.57
2618,5,11,278.96
1027,8,3,747.07
6090,1,1,484.54
5759,10,13,311.03
3263,3,12,459.69
8927,1,15,419.37
1903,7,5,574.59
519,2,9,270.89
2967,7,1,253.45
3486,9,20,724.55
7315,2,1,577.38
664,7,16,300.48
608,10,9,458.78
9726,8,2,501.24
1269,3,11,328.47
2714,6,17,180.75
938,7,12,521.09
9872,9,10,832.33
696,1,11,582.5
581,5,12,798.62
2974,5,18,562.08
6288,4,13,510.5
9711,6,4,510.46
3671,3,8,892.41
767,3,17,452.19
7863,8,19,127.44
4388,7,9,123.24
1875,5,7,981.24
864,3,1,733.4
7889,1,15,502.22
1978,8,8,235.65
9441,10,1,418.06
6849,7,20,935.72
5609,1,6,744.57
3805,10,11,622.39
8195,10,18,385.21
6660,1,16,678.65
2861,5,14,247.28
8580,4,18,300.67
7549,10,15,439.27
7755,5,1,984.38
6415,9,18,877.79
3037,9,6,792.29
2153,5,7,370.38
7382,3,1,304.72
5612,6,16,118.39
8604,10,11,966.09
9555,2,4,435.7
3053,5,11,147.82
7771,5,3,780.81
4856,8,2,189.39
9866,2,8,147.08
6143,5,13,300.53
3457,2,18,358.8
1808,2,14,422.23
7172,5,4,710.81
6188,4,1,792.01
8733,9,15,607.3
2328,10,3,272.89
2726,9,4,405.67
6133,3,1,702.46
969,1,10,120.75
9845,3,17,443.02
420,8,3,105.97
9178,1,3,238.34
5303,6,3,354.71
549,2,12,544.28
2619,8,8,647.19
8766,4,3,673.99
4419,6,14,898.34
3561,7,8,437.9
4745,2,15,796.32
9563,6,13,326.53
9419,4,18,739.02
5672,8,16,845.66
5726,10,20,602.55
200,5,16,967.21
57,5,14,203.03
4169,7,13,445.63
3598,2,18,517.57
1994,6,5,266.55
610,8,9,491.73
9593,1,7,278.21
6889,1,20,948.47
6488,3,20,400.2
4344,2,5,946.85
6024,4,3,626.82
7602,1,9,302.53
2873,1,11,288.93
5455,4,8,903.35
6886,1,15,303.48
5939,2,8,140.11
1897,6,18,638.63
9960,9,4,635.48
5894,6,15,270.44
6657,4,13,151.83
138,6,5,152.07
7759,7,4,651.72
227,10,15,996.65
1678,6,20,622.35
5794,7,12,857.79
3109,1,10,525.08
4577,2,18,579.95
7318,8,17,772.49
8456,5,3,631.99
1164,9,18,276.77
7594,5,6,239.96
7253,4,2,199.27
1867,9,2,766.48
3250,8,13,831.1
1971,8,20,814.83
1061,5,13,984.07
6798,5,17,783.99
8403,9,12,100.72
7534,6,8,727.56
2886,10,9,927.01
4810,1,5,176.7
2104,9,19,222.0
6999,3,14,857.49
2213,2,6,308.0
1860,5,18,240.7
3306,1,1,563.08
1037,5,19,448.21
6727,6,7,652.55
8715,9,9,194.53
9316,3,5,539.56
9295,10,8,967.2
248,3,19,624.78
6943,10,15,980.13
1211,6,14,836.64
8232,1,9,395.84
5458,1,12,724.81
9855,2,18,689.35
1761,2,6,152.24
2338,4,8,831.21
177,3,19,679.1
1289,2,14,579.79
2456,8,14,601.84
145,6,11,733.28
7500,4,18,842.63
8893,8,10,263.62
906,1,1,773.56
5820,4,3,956.26
8521,7,19,317.14
2197,9,14,222.37
92,7,12,527.24
6589,5,15,119.74
9967,2,15,828.63
9550,10,10,783.33
3361,8,17,211.64
2504,1,2,337.73
6025,3,16,912.26
5261,6,8,536.42
4388,2,5,333.37
4240,2,17,620.01
3321,8,2,252.11
1393,4,4,121.44
1973,9,2,429.68
3192,5,16,105.2
7135,7,1,599.12
5161,5,13,701.12
127,8,1,317.23
888,2,16,103.68
9743,10,17,819.57
7892,1,3,919.04
636,10,9,121.38
7945,3,6,401.97
4067,7,4,976.27
466,4,4,214.0
4444,9,10,371.55
1325,2,5,306.67
8148,3,5,792.59
2015,7,12,472.15
1902,9,3,271.79
9673,1,4,978.01
220,6,17,855.4
8153,4,9,249.57
123,2,19,959.35
716,1,7,788.11
8783,5,1,676.03
7550,8,19,457.99
7201,5,2,429.93
7985,3,20,160.64
3043,5,15,232.41
3987,10,19,179.28
7020,4,4,618.71
4829,8,12,301.24
7551,7,20,282.05
3645,8,9,822.35
5742,7,9,386.24
720,2,16,112.06
3184,7,2,214.17
2565,2,17,698.78
8607,5,13,914.39
3333,9,18,156.65
6512,7,5,162.21
1863,7,6,997.57
6185,2,11,257.95
2436,3,1,635.68
5339,6,17,225.92
2712,6,17,636.1
7676,6,5,547.35
440,7,17,572.13
3046,2,19,171.02
9091,2,13,598.84
7545,8,18,591.64
4436,7,15,315.66
4224,4,17,366.79
1008,1,4,612.69
4089,1,4,653.37
3879,10,17,516.71
8693,5,5,956.59
7430,4,10,884.44
1004,3,16,637.19
186,10,4,685.76
2158,9,11,796.81
6551,6,4,178.81
547,6,5,407.26
4234,3,11,557.06
6255,1,6,805.97
6066,2,18,715.77
1140,3,20,295.57
8723,3,20,825.67
1417,1,1,725.66
5373,8,2,180.89
717,9,19,376.52
8216,7,18,281.66
4525,10,1,950.87
315,9,2,525.01
4794,5,15,970.91
9509,6,12,556.94
1649,10,14,333.08
7571,2,5,856.6
9630,8,19,614.22
3805,4,19,812.72
9223,3,16,282.96
9676,3,6,730.29
1869,7,18,361.1
2837,4,6,443.26
862,8,15,284.53
1218,3,7,524.33
8802,4,13,723.95
7817,3,13,946.05
9985,5,8,600.45
6654,3,9,455.18
1047,3,2,181.66
2773,9,15,678.46
6277,3,8,460.07
3136,3,5,601.91
9301,4,7,213.56
3174,10,7,305.64
1828,2,5,697.05
2449,5,1,525.75
5229,2,15,138.38
1121,6,12,349.64
4996,9,17,120.11
9821,1,18,142.16
1330,2,19,720.85
3854,6,13,456.86
2933,10,14,915.05
3638,3,4,604.14
5233,5,6,978.89
2329,7,14,318.67
5485,3,13,797.12
8013,10,14,796.5
4865,10,6,703.81
6949,6,17,545.61
8699,4,9,818.69
8879,1,14,673.15
7836,7,18,629.11
1207,7,17,256.48
9074,10,16,485.74
4836,2,12,265.14
8571,1,20,748.35
8278,7,17,754.93
2774,4,3,714.46
4926,8,13,239.93
9684,10,20,947.74
3242,6,18,916.66
162,7,8,704.07
815,5,12,656.32
8267,3,18,756.28
6954,1,7,814.45
51,8,11,837.05
1750,5,14,412.76
6400,2,17,425.68
1563,1,6,697.24
9757,1,9,539.26
9120,10,11,305.33
7948,7,5,636.09
4082,5,2,471.09
5767,9,8,784.98
6039,1,17,223.13
3639,1,13,377.03
9497,3,5,421.83
3004,4,13,924.13
6515,7,13,385.1
1447,6,11,737.67
9637,4,12,610.96
9234,6,16,794.24
4385,6,15,120.98
3659,2,13,347.3
6667,9,12,679.82
860,5,15,545.84
3049,5,16,732.5
2122,7,5,669.69
9730,8,8,423.59
2376,6,15,333.52
2537,4,12,616.32
7364,2,1,936.45
627,5,2,120.88
3932,4,20,118.88
4001,6,9,366.96
2204,1,12,450.23
4039,10,4,762.85
1997,10,20,624.14
864,3,15,124.17
4911,1,17,447.48
8363,8,3,978.68
6543,10,20,468.44
1534,1,17,807.99
7451,8,17,183.5
3736,8,17,429.15
5545,7,11,751.65
7508,2,4,924.09
2723,1,15,220.4
2159,7,5,568.63
3935,6,8,974.56
3774,3,13,634.51
59,9,2,433.61
8372,5,16,822.81
6906,9,1,254.79
9826,1,4,959.98
8775,3,3,771.1
4295,6,13,628.51
2979,2,16,208.9
6755,6,14,819.48
9493,6,20,786.7
4519,9,20,310.95
7335,10,15,282.18
4363,3,15,560.61
6665,10,16,374.26
1342,9,14,237.96
6618,10,8,541.26
611,3,11,175.87
9039,3,3,659.71
6085,6,14,116.11
5746,2,11,296.18
3602,9,20,206.18
4390,5,17,564.05
6563,10,20,337.32
8270,1,13,945.62
178,7,5,853.25
7621,4,3,249.0
9083,10,7,164.54
8806,2,2,161.17
2551,8,4,512.03
9852,6,9,539.63
